race,year,median_income,std_median_income,mean_income,std_mean_income
all_races,2018,63179,420,90021,546
all_races,2017,62626,330,89779,584
all_races,2016,61779,456,87001,491
all_races,2015,59901,340,84011,427
all_races,2014,56969,416,80413,474
all_races,2013,57856,706,81189,717
all_races,2012,55900,229,78095,461
all_races,2011,56006,281,77962,412
all_races,2010,56873,375,77783,416
all_races,2009,58400,250,79751,285
all_races,2008,58811,160,79997,283
all_races,2007,60985,170,82081,287
all_races,2006,60178,258,83111,321
all_races,2005,59712,200,81647,308
all_races,2004,59080,261,80578,304
all_races,2003,59286,257,80840,296
all_races,2002,59360,195,80975,304
all_races,2001,60038,183,82758,330
all_races,2000,61399,193,83545,329
all_races,1999,61526,287,82754,429
all_races,1998,60040,355,80067,432
all_races,1997,57911,268,77766,435
all_races,1996,56744,286,75340,422
all_races,1995,55931,323,73760,404
all_races,1994,54233,247,72503,390
all_races,1993,53610,251,71091,384
all_races,1992,53897,255,68330,287
all_races,1991,54318,261,68374,281
all_races,1990,55952,286,69892,295
all_races,1989,56678,312,71607,312
all_races,1988,55716,272,69615,311
all_races,1987,55260,261,68723,282
all_races,1986,54608,283,67465,274
all_races,1985,52709,286,64868,257
all_races,1984,51742,235,63397,233
all_races,1983,50216,228,61075,228
all_races,1982,50571,228,60946,226
all_races,1981,50709,266,60580,221
all_races,1980,51528,265,61283,224
all_races,1979,53257,252,63264,239
all_races,1978,53359,216,62802,241
all_races,1977,51371,193,60939,185
all_races,1976,51048,189,60045,185
all_races,1975,50214,204,58636,183
all_races,1974,51565,198,60301,189
all_races,1973,53251,203,61584,187
all_races,1972,52197,199,60751,188
all_races,1971,50053,194,57566,183
all_races,1970,50545,185,57877,185
all_races,1969,50940,188,57954,182
all_races,1968,49114,178,55565,178
all_races,1967,47085,171,52662,171
white_alone,2018,66943,393,93948,628
white_alone,2017,66413,524,93750,658
white_alone,2016,64729,349,90351,559
white_alone,2015,63710,404,87152,498
white_alone,2014,60376,377,83760,555
white_alone,2013,61268,558,84028,818
white_alone,2012,58846,421,81538,508
white_alone,2011,58423,252,81470,472
white_alone,2010,59682,292,81268,467
white_alone,2009,60845,181,82764,319
white_alone,2008,61160,178,83232,320
white_alone,2007,63270,187,85385,325
white_alone,2006,63264,184,86279,360
white_alone,2005,62584,273,85022,352
white_alone,2004,62177,244,83833,345
white_alone,2003,62451,245,84289,338
white_alone,2002,63107,256,84214,343
white_alone,2001,63293,297,86034,370
white_alone,2000,64216,284,86643,371
white_alone,1999,63989,324,85762,485
white_alone,1998,63170,317,83698,493
white_alone,1997,60990,387,81225,495
white_alone,1996,59413,307,78331,464
white_alone,1995,58705,307,76699,445
white_alone,1994,57198,321,75698,440
white_alone,1993,56560,329,74277,429
white_alone,1992,56665,274,71416,318
white_alone,1991,56920,276,71261,310
white_alone,1990,58359,267,72712,325
white_alone,1989,59619,290,74589,345
white_alone,1988,58900,348,72585,342
white_alone,1987,58222,293,71659,310
white_alone,1986,57411,279,70275,300
white_alone,1985,55588,297,67530,283
white_alone,1984,54586,275,66012,256
white_alone,1983,52662,238,63609,248
white_alone,1982,52943,241,63458,248
white_alone,1981,53577,247,63119,239
white_alone,1980,54361,279,63756,244
white_alone,1979,55839,265,65758,262
white_alone,1978,55470,244,65129,262
white_alone,1977,54020,227,63320,204
white_alone,1976,53474,221,62355,201
white_alone,1975,52512,191,60802,200
white_alone,1974,53927,203,62534,203
white_alone,1973,55809,213,63965,203
white_alone,1972,54759,210,63114,205
white_alone,1971,52354,200,59650,194
white_alone,1970,52646,203,59903,197
white_alone,1969,53163,194,60103,200
white_alone,1968,51138,190,57563,190
