,year,black_diff,white_diff,hispanic_diff
269,2018,-19716,3412,-11729
270,2017,-19390,2946,-11237
271,2016,-19945,2417,-11892
272,2015,-19796,2809,-12049
273,2014,-20172,2445,-11855
274,2013,-18805,2349,-15006
275,2012,-19809,2285,-13162
276,2011,-20265,3086,-12789
277,2010,-19938,2872,-13440
278,2009,-18975,3097,-13772
279,2008,-18713,3165,-14485
280,2007,-18732,3747,-14027
281,2006,-18139,3255,-13009
282,2005,-18019,2817,-13352
283,2004,-19330,2463,-13410
284,2003,-20897,3130,-14126
285,2002,-18709,3079,-13026
286,2001,-19201,2669,-12317
287,2000,-19176,2774,-12899
288,1999,-18889,2965,-15042
289,1998,-20091,2950,-16297
290,1997,-20902,2768,-16239
291,1996,-20409,2602,-16925
292,1995,-21054,2407,-18409
293,1994,-21222,2941,-14864
294,1993,-22139,3184,-14337
295,1992,-22029,2962,-14143
296,1991,-21532,2803,-13406
297,1990,-19637,2879,-14226
298,1989,-20646,2844,-13696
299,1988,-20331,2446,-14052
300,1987,-20566,2372,-14260
301,1986,-20644,2868,-14356
302,1985,-20210,2833,-13732
303,1984,-20473,2582,-12518
304,1983,-20024,2111,-11971
305,1982,-19493,2649,-12518
306,1981,-19251,2426,-10034
307,1980,-18690,2298,-11810
308,1979,-19494,2362,-11062
309,1978,-20400,2558,-11551
310,1977,-20234,2562,-11072
311,1976,-19127,2301,-12543
312,1975,-18501,2101,-12489
313,1974,-18806,2223,-10551
314,1973,-18959,2024,-11996
315,1972,-18575,2017,-10873
